Water Control Zone,Station,Latitude,Longitude,Dates,Sample No,Depth,5-day Biochemical Oxygen Demand (mg/L),Ammonia Nitrogen (mg/L),Chlorophyll-a (μg/L),Dissolved Oxygen (mg/L),Faecal Coliforms (cfu/100mL),Orthophosphate Phosphorus (mg/L),Phaeo-pigments (μg/L),Salinity (psu),Total Inorganic Nitrogen (mg/L),Total Nitrogen (mg/L),Turbidity (NTU),Volatile Suspended Solids (mg/L)
Tolo Harbour and Channel,TM3,22.447617,114.203017,7/18/2016,1,Bottom Water,2,0.021,13,5.8,2,0.012,5.1,34,0.08,1.36,1.7,2.4
Tolo Harbour and Channel,TM3,22.447617,114.203017,8/19/2016,1,Surface Water,3.5,0.07,20,6.9,160,0.005,4.9,24.2,0.07,0.48,2.8,2.2
Tolo Harbour and Channel,TM3,22.447617,114.203017,8/19/2016,1,Middle Water,1.9,0.06,9.6,6.9,150,0.005,2.6,25,0.06,1.2,1.5,1.5
Tolo Harbour and Channel,TM3,22.447617,114.203017,8/19/2016,1,Bottom Water,0.6,0.036,1.7,7.2,14,0.003,0.7,30.8,0.04,0.65,0.8,0.7
Tolo Harbour and Channel,TM3,22.447617,114.203017,9/29/2016,1,Surface Water,1.2,0.069,3.4,6.6,30,0.014,1.5,31.9,0.09,0.21,41.8,0.8
Tolo Harbour and Channel,TM3,22.447617,114.203017,9/29/2016,1,Middle Water,1.2,0.065,3.6,3.2,34,0.015,2.8,31.8,0.08,0.26,1.3,0.8
Tolo Harbour and Channel,TM3,22.447617,114.203017,9/29/2016,1,Bottom Water,1,0.063,2.4,3.2,90,0.015,3.9,31.8,0.08,0.18,1.6,0.7
Tolo Harbour and Channel,TM3,22.447617,114.203017,10/13/2016,1,Surface Water,1.8,0.065,2.9,5.6,21,0.004,0.7,29.2,0.08,0.5,1.2,1.1
Tolo Harbour and Channel,TM3,22.447617,114.203017,10/13/2016,1,Middle Water,1.8,0.046,3.2,6.7,26,0.003,1.5,29.3,0.05,0.37,1,1.2
Tolo Harbour and Channel,TM3,22.447617,114.203017,10/13/2016,1,Bottom Water,0.8,0.042,2.5,4.3,10,0.004,1.2,31.2,0.06,0.71,1.5,0.8
Tolo Harbour and Channel,TM3,22.447617,114.203017,11/10/2016,1,Surface Water,0.7,0.064,6.5,4.9,170,0.005,2.1,30.3,0.11,0.21,3.3,0.7
Tolo Harbour and Channel,TM3,22.447617,114.203017,11/10/2016,1,Middle Water,0.7,0.061,5.1,4.7,250,0.003,2,30.4,0.1,0.25,0.8,0.5
Tolo Harbour and Channel,TM3,22.447617,114.203017,11/10/2016,1,Bottom Water,0.5,0.086,3.2,4.1,11,0.007,2.9,31,0.14,0.37,1.9,0.8
Tolo Harbour and Channel,TM3,22.447617,114.203017,12/12/2016,1,Surface Water,1.8,0.019,10,7.6,6,0,2,29.7,0.06,0.58,3.1,1.4
Tolo Harbour and Channel,TM3,22.447617,114.203017,12/12/2016,1,Middle Water,1.9,0.022,8,7.8,6,0,2.9,29.7,0.06,0.61,3.4,1.9
Tolo Harbour and Channel,TM3,22.447617,114.203017,12/12/2016,1,Bottom Water,1.2,0.03,6.2,7.1,4,0,0.9,30.3,0.08,0.37,2.7,1.6
Tolo Harbour and Channel,TM3,22.447617,114.203017,1/18/2017,1,Surface Water,1.2,0.15,0.6,5,1100,0.007,1.1,29.9,0.19,0.36,4.4,0.6
